GeneSymbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,change
ABCC2,92.46440272,1.626798622,0.757284069,2.1482013,0.031697767,0.366375974,UP
RRAGA,545.7651998,0.731287961,0.34044803,2.148016429,0.03171245,0.366375974,UP
IGKV1-39,36.3802618,1.799935639,0.838001821,2.14788989,0.031722504,0.366375974,UP
ELOB,1298.733303,0.948986671,0.441962496,2.147210858,0.031776499,0.366601536,UP
EXOSC10-AS1,6.86013832,-1.611254758,0.751095022,-2.145207611,0.031936251,0.368045401,DOWN
CBLL1-AS1,36.31642557,1.08900395,0.50807282,2.143401316,0.032080888,0.3690584,UP
ENSG00000272106,48.3360333,-0.861793599,0.402130558,-2.143069166,0.032107545,0.3690584,DOWN
ANKS1A,600.7454552,1.290959317,0.602460519,2.142811482,0.032128239,0.3690584,UP
ATOH8,25.05429427,1.936074275,0.904352461,2.140840389,0.032286912,0.370480992,UP
EPHA4,41.67763131,-1.265149709,0.591081734,-2.140397232,0.032322678,0.370491731,DOWN
STMN3,198.316954,-0.973568235,0.45518159,-2.138856793,0.032447268,0.371415326,DOWN
DLD,533.4322323,0.5948905,0.278176236,2.138538172,0.03247309,0.371415326,UP
FUT1,4.917112553,2.525316519,1.181236661,2.13785823,0.032528251,0.371646625,UP
TCAF2,113.5306202,0.737101111,0.345060553,2.136150031,0.032667187,0.372593191,UP
TMEM255A,7.206994888,-1.668190386,0.780995819,-2.135978637,0.032681155,0.372593191,DOWN
CHAC1,9.855249632,2.599644826,1.21773702,2.134816289,0.032776019,0.373274643,UP
GRIN3A,33.26919282,-1.09274605,0.512084959,-2.133915534,0.032849696,0.373476293,DOWN
ENSG00000293518,4.175966366,-2.095720583,0.982181108,-2.133741492,0.032863948,0.373476293,DOWN
GSR,1042.922444,0.781427539,0.366478793,2.132258549,0.032985598,0.3744587,UP
ENSG00000254756,8.826072452,-1.448760845,0.679689805,-2.13150298,0.033047727,0.374764045,DOWN
ENSG00000304354,31.9899496,-1.560658433,0.733088663,-2.128880871,0.033264118,0.376677712,DOWN
ARL4AP2,9.442074986,2.009278662,0.944018684,2.128431032,0.033301363,0.376677712,UP
PDK4,267.2520216,1.524876648,0.716519012,2.128173324,0.033322716,0.376677712,UP
ZNF512B,101.4472224,-1.129300937,0.530825507,-2.127442865,0.033383304,0.376733744,DOWN
LSM6,141.8218787,0.749205855,0.352363346,2.126230959,0.033484034,0.376733744,UP
THEMIS,230.0340467,-1.436399377,0.675622099,-2.126039658,0.033499958,0.376733744,DOWN
ATP5PB,1115.737459,0.717237142,0.337408313,2.125724575,0.033526199,0.376733744,UP
PDE4D,507.7935383,1.333650979,0.627410298,2.125644069,0.033532907,0.376733744,UP
